"filename", "language", "JavaScript", "JSON", "Properties", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 0, 6, 13
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\package-lock.json", "JSON", 0, 3864, 0, 0, 0, 0, 0, 0, 0, 1, 3865
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\package.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\public\index.css", "PostCSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 2134, 0, 0, 0, 69, 411, 2614
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\ChooseUsernamePage\ChooseUsername.jsx", "JavaScript JSX", 0, 0, 0, 116, 0, 0, 0, 0, 0, 13, 129
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\EmailActionPage\EmailActionHandler.jsx", "JavaScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 10, 51
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\HandleActionPage\HandleAction.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\AboutSection.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\CTA.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\CommunitySection.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\FeaturesSection.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\Footer.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\Hero.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\LandingNavbar.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\LandingPage\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\MainPage\MainNavbar.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\MainPage\MainPage.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 10, 47
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\MainPage\Map.jsx", "JavaScript JSX", 0, 0, 0, 193, 0, 0, 0, 0, 16, 19, 228
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\MainPage\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 0, 12, 122
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\ResetPasswordPage\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 7, 66
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\SignInPage\SignIn.jsx", "JavaScript JSX", 0, 0, 0, 170, 0, 0, 0, 0, 3, 17, 190
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\SignUpPage\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 265, 0, 0, 0, 0, 4, 38, 307
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\Pages\VerifyEmailPage\VerifyEmail.jsx", "JavaScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 1, 14, 123
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\black-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\blue-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\circled-group-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\gold-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\green-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\grey-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\medal-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\orange-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\photos-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\pin-sharp-circle-625-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\purple-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\recent.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\red-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\robot-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\search.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\settings.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\suggestion-pin.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 1, 3, 19
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\white-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\assets\yellow-pin.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\components\PinsComponent\AddPin.jsx", "JavaScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 4, 7, 60
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\components\PinsComponent\PinSidebar.jsx", "JavaScript JSX", 0, 0, 0, 219, 0, 0, 0, 0, 0, 21, 240
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\components\PinsComponent\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 130, 0, 0, 0, 0, 0, 11, 141
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\lib\api.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\lib\firebase.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\firebaseadmin.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\package-lock.json", "JSON", 0, 2913, 0, 0, 0, 0, 0, 0, 0, 1, 2914
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\routes\autocomplete.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\server.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 2, 18, 75
"Total", "-", 167, 6830, 1, 1764, 2195, 123, 7, 17, 119, 779, 12002